Time,Gyro Meas X,Gyro Meas Y,Gyro Meas Z,Acc Meas X,Acc Meas Y,Acc Meas Z
1.76,-2.48855,2.38931,0.12977,0.07007,-0.00171,1.02881
1.78,-2.57252,2.41221,0.13740,0.06738,-0.00195,1.02808
1.80,-2.64886,2.31298,0.09924,0.07080,0.00171,1.03320
1.82,-2.61832,2.32061,0.13740,0.07275,0.00098,1.03027
1.84,-2.58015,2.37405,-0.02290,0.07153,0.00317,1.03101
1.86,-2.59542,2.25954,0.13740,0.07104,-0.00171,1.02954
1.88,-2.66412,2.27481,0.09924,0.07153,-0.00122,1.03345
1.90,-2.48092,2.32824,-0.09924,0.07397,-0.00024,1.02881
1.92,-2.66412,2.44275,0.15267,0.07324,0.00464,1.03052
1.94,-2.54198,2.42748,0.15267,0.07324,0.00098,1.03345
1.96,-2.60305,2.38931,0.10687,0.07104,-0.00342,1.03003
1.98,-2.52672,2.36641,0.13740,0.07056,-0.00220,1.03149
2.00,-2.61069,2.32061,-0.06870,0.06592,0.00439,1.03589
2.02,-2.50382,2.22901,0.12214,0.07153,-0.00024,1.02734
2.04,-2.58015,2.28244,0.13740,0.07349,-0.00342,1.02637
2.06,-2.64122,2.38931,0.25191,0.07886,-0.00439,1.03174
2.08,-2.76336,2.31298,0.09160,0.07153,-0.00049,1.03369
2.10,-2.64122,2.35878,0.07634,0.06909,-0.00171,1.03271
2.12,-2.70229,2.32061,0.10687,0.07446,0.00122,1.03003
2.14,-2.48855,2.54198,0.18321,0.07251,0.00195,1.03296
2.16,-2.61069,2.30534,0.17557,0.07007,0.00269,1.03076
2.18,-2.68702,2.37405,0.11450,0.07324,-0.00244,1.03125
2.20,-2.67939,2.31298,-0.10687,0.07251,0.00195,1.03076
2.22,-2.67939,2.57252,-0.03817,0.07178,-0.00293,1.03125
2.24,-2.62595,2.35115,0.13740,0.06909,-0.00171,1.03027
2.26,-2.63359,2.44275,0.24427,0.07104,-0.00342,1.02954
2.28,-2.48855,2.40458,0.15267,0.06665,-0.00220,1.02979
2.30,-2.60305,2.29771,0.19847,0.07324,-0.00317,1.02930
2.32,-2.56489,2.29008,0.11450,0.07007,0.00000,1.02441
2.34,-2.66412,2.38931,0.08397,0.07520,0.00122,1.03125
2.36,-2.61069,2.32061,0.19084,0.07007,-0.00146,1.03076
2.38,-2.64122,2.39695,0.09924,0.07153,0.00146,1.03638
2.40,-2.58015,2.45038,0.09924,0.07300,-0.00073,1.03101
2.42,-2.60305,2.26718,0.20611,0.07056,-0.00024,1.02954
2.44,-2.61069,2.29771,0.06107,0.07202,0.00171,1.02881
2.46,-2.61832,2.32061,0.06107,0.07227,0.00024,1.02856
2.48,-2.56489,2.32824,0.09924,0.07373,-0.00293,1.02710
2.50,-2.59542,2.41985,0.05344,0.06934,-0.00098,1.03345
2.52,-2.75573,2.46565,0.14504,0.07300,0.00049,1.03052
2.54,-2.67176,2.25954,0.08397,0.07446,-0.00024,1.03076
2.56,-2.64122,2.47328,0.12977,0.07056,0.00781,1.03223
2.58,-2.56489,2.18321,0.06870,0.07373,-0.00122,1.03369
2.60,-2.67939,2.39695,-0.02290,0.07471,-0.00317,1.02881
2.62,-2.74809,2.50382,0.11450,0.07251,0.00586,1.03125
2.64,-2.43511,2.41221,0.05344,0.06836,-0.00220,1.02979
2.66,-2.61069,2.32824,0.06107,0.06885,-0.00098,1.03174
2.68,-2.51908,2.45802,0.16794,0.06982,0.00171,1.03174
2.70,-2.69466,2.29771,0.04580,0.07349,0.00293,1.02979
2.72,-2.52672,2.19847,0.19084,0.07471,0.00122,1.03540
2.74,-2.49618,2.32824,0.00763,0.07593,-0.00171,1.02759
2.76,-2.64886,2.36641,0.13740,0.07129,0.00171,1.03345
2.78,-2.67939,2.32824,-0.03817,0.07031,-0.00122,1.03076
2.80,-2.56489,2.40458,0.16031,0.07007,0.00000,1.03149
2.82,-2.44275,2.17557,0.23664,0.07251,-0.00098,1.03491
2.84,-2.41221,2.25954,0.14504,0.06958,-0.00171,1.02686
2.86,-2.60305,2.56489,0.10687,0.07153,-0.00391,1.02954
2.88,-2.68702,2.24427,-0.03053,0.06738,-0.00244,1.02930
2.90,-2.51908,2.32061,0.05344,0.07007,-0.00244,1.03198
2.92,-2.76336,2.44275,0.07634,0.07471,0.00098,1.02734
2.94,-2.69466,2.39695,0.20611,0.07153,0.00146,1.03369
2.96,-2.52672,2.30534,0.21374,0.07007,-0.00244,1.02539
2.98,-2.56489,2.40458,0.19847,0.06934,-0.00269,1.03345
3.00,-2.58015,2.29771,0.00763,0.06958,0.00269,1.03296
